Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Jacob Wham,9,139,111,16,9,7,6,19,51,94.44,1005,267,738,50.45,3,3,0,0,0,3,75.00,2,47,92,159,radicals,2023,176.0,8.0,5.0,8.11,6.31,14.41,0.46,0.14,2.0,7.0,9.0,2.7,2.7,19.71,4.32,25.0,120.0,14.38,4.21,0.13,9.08,2.89,0.5,7.94,6.37,2.89,2.25,6.92,19.4,161.48,90.84,31.28,3.08,-0.36,0.15,0.02,-0.52,-0.74,-0.62,-0.18,-0.44,-0.66,-0.25,-0.61,0.07,0.52,-0.38,0.21,-0.3,-0.12,0.03,-0.17,-0.25
Andrew Meshnick,10,183,96,12,4,8,10,17,46,90.2,683,296,387,55.21,4,5,0,0,2,2,100.00,0,9,174,202,radicals,2023,176.0,8.0,5.0,4.17,8.33,12.5,0.48,0.09,3.0,4.0,7.0,4.17,5.21,14.85,5.46,0.0,200.0,12.64,5.23,0.08,7.28,4.25,0.53,4.34,8.2,5.19,3.19,4.19,14.96,200.77,164.94,9.53,2.19,-0.58,1.11,-0.12,-0.72,-0.63,-0.65,-0.64,-0.34,-0.37,-0.65,-0.58,0.64,-0.2,0.16,1.44,-0.39,-0.26,0.57,-0.1,-0.25
Jack Kelly,10,136,156,26,8,18,1,16,118,92.91,1679,411,1268,49.36,10,9,0,2,0,2,100.00,0,132,4,149,radicals,2023,176.0,8.0,5.0,5.13,11.54,16.67,0.76,0.12,3.0,8.0,11.0,6.41,5.77,14.23,0.74,0.0,20.0,16.51,0.88,0.11,10.94,6.33,0.77,5.18,11.27,5.72,3.12,7.88,14.34,151.41,8.46,6.08,2.12,0.2,-1.04,-0.19,-0.1,0.05,-0.12,-0.27,0.66,0.19,0.35,-0.46,-0.06,-0.3,-0.51,-1.11,-0.39,-0.21,-0.68,-0.69,-0.25
Joshua Wilson,12,214,179,23,18,5,5,15,238,94.07,2060,1433,627,53.07,20,12,0,1,0,2,22.22,5,79,135,230,radicals,2023,176.0,8.0,5.0,10.06,2.79,12.85,1.33,0.07,8.0,4.0,12.0,11.17,6.7,8.66,2.34,62.5,100.0,12.91,2.37,0.07,11.89,10.84,1.31,9.85,3.01,6.61,7.84,4.11,9.05,227.83,131.98,64.54,2.11,0.04,-0.08,-0.26,0.14,1.18,0.76,0.65,-0.64,0.62,-0.38,0.56,0.38,-1.12,0.51,0.86,-0.15,0.21,-0.08,0.28,-0.25
Nico Ranabhat,7,123,100,11,1,10,5,13,25,92.59,505,7,498,51.0,1,2,1,1,0,0,--,0,31,92,133,radicals,2023,176.0,8.0,5.0,1.0,10.0,11.0,0.25,0.11,0.0,5.0,5.0,1.0,2.0,20.2,4.07,0.0,100.0,11.27,3.97,0.1,5.45,1.36,0.32,1.45,9.73,2.27,0.45,5.09,19.82,138.09,90.73,9.18,0.36,-0.64,-0.08,-0.4,-0.84,-0.97,-0.81,-0.91,-0.14,-0.8,-0.53,-0.87,0.13,0.59,-0.71,0.21,-0.39,-0.28,-0.12,-0.5,-0.25
Sterling Knoche,4,73,53,9,4,5,5,12,24,96.0,505,151,354,52.83,1,1,0,1,0,1,100.00,0,17,56,78,radicals,2023,176.0,8.0,5.0,7.55,9.43,16.98,0.45,0.16,3.0,7.0,10.0,1.89,1.89,21.04,6.85,0.0,100.0,16.51,6.24,0.13,10.0,2.38,0.54,7.3,9.04,2.38,3.32,6.84,20.24,95.62,59.49,16.03,1.48,-0.75,-0.08,-0.47,-0.84,-0.97,-0.82,-0.64,-0.64,-0.94,-0.69,-0.72,0.35,0.71,-1.4,-0.33,-0.39,-0.25,-0.12,-0.45,-0.25
Victor Luo,10,198,217,30,22,8,4,10,432,94.32,3983,2936,1047,47.0,14,24,0,0,0,9,60.00,3,166,32,226,radicals,2023,176.0,8.0,5.0,10.14,3.69,13.82,1.99,0.05,14.0,5.0,18.0,6.45,11.06,9.22,2.02,37.5,80.0,13.83,2.06,0.05,17.65,6.39,1.95,9.96,3.84,10.79,13.6,5.04,9.52,224.37,34.03,40.3,8.78,0.43,-0.32,-0.61,1.35,0.5,2.19,1.02,-0.34,2.32,0.1,2.06,-0.35,-1.04,0.46,-0.69,-0.25,-0.58,-0.23,-1.02,-0.25
Alex Gravatt,9,92,48,7,1,6,3,9,5,83.33,149,8,141,50.0,1,1,0,0,0,0,--,0,2,90,112,radicals,2023,176.0,8.0,5.0,2.08,12.5,14.58,0.1,0.1,0.0,3.0,3.0,2.08,2.08,29.8,3.26,0.0,60.0,14.48,3.22,0.08,4.21,2.58,0.26,2.76,11.55,2.58,0.86,3.52,27.42,125.28,87.93,17.41,0.69,-0.86,-0.56,-0.68,-1.06,-0.97,-0.96,-0.91,-0.54,-0.94,-0.93,-0.87,0.01,2.01,-0.97,0.18,-0.39,-0.27,-0.4,-0.63,-0.25
Henry Goldenberg,10,177,209,33,25,8,4,9,457,94.42,3941,2584,1357,45.93,13,24,1,4,0,6,37.50,0,175,2,196,radicals,2023,176.0,8.0,5.0,11.96,3.83,15.79,2.19,0.05,12.0,6.0,19.0,6.22,11.48,8.62,2.26,0.0,80.0,15.71,2.29,0.05,18.59,6.16,2.14,11.69,3.97,11.18,11.68,6.0,8.96,195.68,5.47,4.61,5.91,0.6,-0.32,-0.68,1.32,0.39,2.38,1.29,-0.34,2.32,0.45,1.71,-0.48,-1.13,0.08,-1.13,-0.39,-0.7,-0.26,-1.22,-0.25
Ted Schewe,12,205,245,28,19,9,1,9,310,93.09,3547,1919,1628,47.76,11,20,0,0,0,5,50.00,0,204,1,229,radicals,2023,176.0,8.0,5.0,7.76,3.67,11.43,1.27,0.04,8.0,7.0,14.0,4.49,8.16,11.44,0.49,0.0,20.0,11.53,0.59,0.04,13.84,4.51,1.26,7.69,3.8,8.04,7.88,6.96,11.62,227.43,4.02,3.96,4.96,0.32,-1.04,-0.68,1.07,0.16,1.29,0.74,-0.24,1.75,0.76,1.04,-0.26,-0.71,0.5,-1.15,-0.39,-0.63,-0.68,-1.33,-0.25
Daniel Garlock,12,162,166,18,13,5,4,8,205,92.76,2424,1658,766,44.58,15,14,1,0,0,6,54.55,33,105,57,180,radicals,2023,176.0,8.0,5.0,7.83,3.01,10.84,1.23,0.05,10.0,5.0,15.0,9.04,8.43,11.82,2.47,412.5,80.0,11.02,2.5,0.05,14.72,8.81,1.22,7.73,3.24,8.24,9.72,5.06,12.06,180.51,58.19,394.8,5.89,-0.24,-0.32,-0.75,0.37,0.61,0.52,0.19,-0.64,0.9,-0.22,0.78,-0.64,-0.65,-0.12,-0.31,1.22,-0.22,0.04,-0.32,-0.25
Kai DeLorenzo,11,255,222,21,16,5,13,6,152,84.92,2355,1312,1043,52.25,20,26,0,2,0,10,55.56,85,105,150,297,radicals,2023,176.0,8.0,5.0,7.21,2.25,9.46,0.68,0.02,6.0,5.0,11.0,9.01,11.71,15.49,5.1,1062.5,260.0,9.66,5.01,0.02,10.96,8.84,0.69,7.16,2.45,11.42,5.96,5.04,15.51,292.34,146.9,1021.06,9.74,-0.08,1.82,-0.89,0.33,1.18,0.13,0.47,-0.64,2.6,0.09,0.44,0.28,-0.11,1.35,1.08,3.76,-0.99,1.76,-0.58,-0.25
Noah Nicol,4,46,27,3,1,2,3,6,5,100.0,143,27,116,51.85,0,0,0,0,0,0,--,0,3,43,54,radicals,2023,176.0,8.0,5.0,3.7,7.41,11.11,0.19,0.13,1.0,4.0,5.0,0.0,0.0,28.6,6.52,0.0,60.0,11.89,5.57,0.09,6.35,1.35,0.41,4.32,7.3,1.35,2.08,4.54,25.19,90.49,52.46,27.3,1.08,-1.08,-0.56,-0.89,-1.06,-1.08,-0.96,-0.91,-0.94,-1.08,-0.96,-0.85,0.23,1.83,-1.7,-0.52,-0.39,-0.34,-0.4,-0.74,-0.25
Dylan DeClerck,13,260,208,35,8,27,18,51,56,93.33,1834,265,1569,54.81,3,2,0,0,1,1,50.00,0,47,213,308,windchill,2023,202.0,5.0,7.0,3.85,12.98,16.83,0.27,0.2,1.0,8.0,9.0,1.44,0.96,32.75,6.92,0.0,257.14,16.7,6.74,0.19,9.05,1.6,0.3,3.95,12.71,1.15,1.18,7.91,31.98,302.54,206.81,4.63,1.14,0.71,3.01,2.25,-0.0,-0.74,-0.58,-0.27,1.56,-0.8,0.69,-0.61,0.59,2.45,1.49,2.03,-0.39,0.41,1.67,1.52,0.15
Bryan Vohnoutka,14,279,299,56,24,32,6,46,229,94.63,4228,1217,3011,53.85,27,12,0,4,1,5,55.56,1,191,88,319,windchill,2023,202.0,5.0,7.0,8.03,10.7,18.73,0.77,0.16,4.0,10.0,14.0,9.03,4.01,18.46,2.15,20.0,85.71,18.58,2.18,0.15,13.87,8.9,0.78,7.96,10.58,4.04,4.03,9.87,18.38,314.79,87.68,22.62,4.97,1.88,0.15,1.9,1.5,1.97,0.7,1.2,2.06,0.62,2.33,0.34,0.47,0.33,1.63,0.15,-0.32,0.98,0.03,1.53,0.15
Quinn Snider,8,144,171,36,9,27,3,36,87,96.67,2065,376,1689,49.12,8,3,0,0,0,1,50.00,0,125,19,163,windchill,2023,202.0,5.0,7.0,5.26,15.79,21.05,0.51,0.25,2.0,10.0,12.0,4.68,1.75,23.74,2.08,0.0,42.86,20.66,2.13,0.24,11.89,4.7,0.54,5.3,15.3,1.93,2.17,9.78,23.31,164.44,22.26,5.58,1.17,0.76,-0.56,1.2,0.14,-0.18,-0.35,-0.18,1.56,-0.66,0.83,-0.5,-0.09,1.11,-0.33,-0.88,-0.39,0.38,-0.4,0.37,0.15
Bret Bergmeier,13,220,159,31,15,16,10,32,122,92.42,2058,926,1132,55.97,16,9,1,0,1,7,63.64,3,39,181,254,windchill,2023,202.0,5.0,7.0,9.43,10.06,19.5,0.77,0.15,6.0,7.0,13.0,10.06,5.66,16.87,4.55,60.0,142.86,19.17,4.46,0.14,12.82,9.76,0.78,9.23,9.88,5.62,5.94,6.94,16.82,250.15,174.91,62.43,6.82,0.48,1.11,0.92,0.14,0.73,-0.09,0.37,0.46,0.19,0.19,0.05,0.73,0.1,0.81,1.55,-0.16,0.33,0.61,0.83,0.15
Paul Krenik,6,127,104,17,4,13,11,27,39,97.5,744,163,581,55.77,3,1,0,0,0,0,--,0,31,96,146,windchill,2023,202.0,5.0,7.0,3.85,12.5,16.35,0.38,0.21,2.0,6.0,7.0,2.88,0.96,19.08,8.66,0.0,157.14,16.14,8.16,0.19,7.26,3.07,0.43,4.04,12.02,1.31,2.26,6.0,18.81,149.77,94.42,8.86,0.35,-0.3,1.34,0.58,-0.69,-0.74,-0.71,-0.64,0.16,-0.94,-0.43,-0.71,0.7,0.42,-0.54,0.27,-0.39,0.03,0.7,0.42,0.15
Tanner Barcus,14,236,177,15,3,12,16,27,92,97.87,1283,507,776,55.93,12,1,0,3,0,1,50.00,0,42,194,276,windchill,2023,202.0,5.0,7.0,1.69,6.78,8.47,0.52,0.11,3.0,4.0,7.0,6.78,0.56,13.95,6.78,0.0,228.57,8.77,6.58,0.1,7.16,6.68,0.55,1.92,6.79,0.8,3.11,4.11,14.06,271.35,187.8,5.4,1.16,-0.41,2.53,0.58,-0.35,0.28,-0.32,-0.73,0.06,-0.94,-0.21,-0.37,0.72,-0.34,1.09,1.74,-0.39,0.57,1.4,1.63,0.15
Tristan Van de Moortele,13,261,257,34,18,16,6,26,401,96.63,2806,1575,1231,48.64,20,14,2,0,0,3,60.00,17,145,116,314,windchill,2023,202.0,5.0,7.0,7.0,6.23,13.23,1.56,0.1,6.0,5.0,11.0,7.78,5.45,7.0,2.3,340.0,85.71,13.26,2.33,0.1,10.96,7.68,1.54,6.96,6.26,5.43,5.96,5.04,7.34,309.32,114.58,331.05,3.04,0.65,0.15,0.51,0.61,1.18,1.97,0.65,0.46,0.9,0.31,0.7,-0.15,-1.37,1.57,0.57,0.94,0.32,0.26,0.63,0.15
Jordan Taylor,13,207,260,35,14,21,4,24,156,91.23,2865,1156,1709,47.31,12,15,0,0,0,3,50.00,1,188,19,245,windchill,2023,202.0,5.0,7.0,5.38,8.08,13.46,0.6,0.12,4.0,7.0,11.0,4.62,5.77,18.37,1.93,20.0,57.14,13.48,1.97,0.12,10.96,4.63,0.61,5.4,8.04,5.74,4.04,6.96,18.28,242.93,21.19,23.0,3.04,0.71,-0.32,0.37,0.65,0.28,0.16,0.28,0.96,1.04,0.85,0.28,-0.31,0.32,0.7,-0.88,-0.32,-0.23,-0.25,-0.49,0.15
William Brandt,8,153,189,34,28,6,4,23,305,95.02,2602,1921,681,50.26,12,14,0,1,0,7,58.33,0,150,3,171,windchill,2023,202.0,5.0,7.0,14.81,3.17,17.99,1.61,0.15,10.0,4.0,14.0,6.35,7.41,8.53,2.61,0.0,57.14,17.79,2.63,0.14,13.8,6.28,1.58,14.37,3.36,7.29,9.75,4.1,8.91,171.9,6.77,5.08,6.85,0.65,-0.32,0.3,0.48,0.28,1.26,1.57,-0.54,0.9,-0.32,1.04,0.04,-1.14,-0.23,-1.12,-0.39,-0.05,-0.26,-0.22,0.15
Colin Berry,13,210,257,39,18,21,4,22,150,88.76,3124,1111,2013,49.03,8,17,0,4,0,7,58.33,0,186,24,223,windchill,2023,202.0,5.0,7.0,7.0,8.17,15.18,0.58,0.1,4.0,8.0,12.0,3.11,6.61,20.83,1.9,0.0,57.14,15.14,1.94,0.1,11.93,3.18,0.6,6.96,8.13,6.55,4.04,7.93,20.65,221.73,26.02,3.78,6.89,0.93,-0.32,0.23,0.81,-0.18,0.11,0.65,0.96,1.33,1.2,0.24,-0.1,0.68,0.42,-0.81,-0.39,-0.54,-0.26,-0.97,0.15
Brandon Matis,13,180,115,11,6,5,7,14,31,88.57,848,148,700,52.17,2,4,0,0,0,1,25.00,2,7,173,208,windchill,2023,202.0,5.0,7.0,5.22,4.35,9.57,0.27,0.08,1.0,6.0,7.0,1.74,3.48,27.35,3.89,40.0,100.0,9.92,3.82,0.07,7.24,2.0,0.33,5.28,4.56,3.6,1.32,6.0,26.44,206.48,165.4,44.88,1.24,-0.64,0.39,-0.33,-0.62,-0.85,-0.77,-0.45,-0.64,-0.52,-0.3,-0.73,0.27,1.65,0.24,1.43,-0.24,-0.29,0.18,-0.35,0.15
James Kittlesen,12,165,113,5,1,4,10,14,19,100.0,390,64,326,46.02,3,0,0,1,0,0,--,0,11,154,178,windchill,2023,202.0,5.0,7.0,0.88,3.54,4.42,0.17,0.08,1.0,3.0,3.0,2.65,0.0,20.53,6.06,0.0,142.86,5.2,5.81,0.07,3.57,2.84,0.24,1.3,3.82,0.41,1.33,3.24,20.16,178.89,147.82,8.21,0.33,-0.97,1.11,-0.33,-0.91,-0.74,-0.85,-0.91,-0.74,-1.08,-0.72,-0.81,-0.47,0.64,-0.14,1.14,-0.39,-0.05,0.57,0.23,0.15
Marty Adams,12,184,205,16,5,11,6,13,117,90.7,1723,615,1108,48.78,13,9,0,0,0,1,16.67,0,114,70,234,windchill,2023,202.0,5.0,7.0,2.44,5.37,7.8,0.57,0.07,3.0,5.0,8.0,6.34,4.39,14.73,3.26,0.0,85.71,8.09,3.25,0.07,8.09,6.28,0.59,2.61,5.45,4.42,3.09,5.05,14.79,231.91,70.37,4.7,1.14,-0.36,0.15,-0.4,-0.07,0.39,-0.13,-0.54,-0.04,0.19,0.17,-0.26,-0.13,-0.22,0.56,-0.12,-0.39,-0.1,0.01,-0.15,0.15
Marco Dregni,9,144,176,20,4,16,3,13,110,92.44,1490,342,1148,51.7,12,9,0,1,0,1,50.00,0,123,21,159,windchill,2023,202.0,5.0,7.0,2.27,9.09,11.36,0.62,0.09,2.0,7.0,8.0,6.82,5.11,13.55,2.08,0.0,42.86,11.5,2.13,0.09,8.11,6.72,0.64,2.47,8.98,5.1,2.16,6.95,13.68,160.61,24.06,5.43,1.16,-0.13,-0.56,-0.4,-0.22,0.28,-0.18,-0.64,0.46,0.19,0.21,-0.53,0.22,-0.4,-0.38,-0.85,-0.39,-0.23,-0.4,-0.57,0.15
Abe Coffin,7,128,144,23,14,9,2,12,153,91.62,2076,1203,873,50.0,12,12,0,1,0,5,55.56,5,109,19,151,windchill,2023,202.0,5.0,7.0,9.72,6.25,15.97,1.06,0.09,8.0,6.0,14.0,8.33,8.33,13.57,1.56,100.0,28.57,15.84,1.65,0.08,13.74,8.11,1.06,9.48,6.3,8.11,7.81,6.0,13.73,153.47,22.83,100.06,4.94,0.04,-0.8,-0.47,0.15,0.28,0.14,0.28,-0.24,0.62,-0.1,0.33,0.01,-0.39,-0.48,-0.88,-0.0,-0.24,-0.47,-0.62,0.15
Ian McCosky,6,73,65,8,6,2,6,12,49,94.23,303,227,76,47.69,4,2,0,0,0,1,100.00,0,4,69,89,windchill,2023,202.0,5.0,7.0,9.23,3.08,12.31,0.75,0.16,3.0,1.0,5.0,6.15,3.08,6.18,8.22,0.0,85.71,12.54,7.52,0.14,5.67,6.0,0.78,8.8,3.6,3.34,3.27,1.67,7.49,102.33,70.2,13.47,1.4,-0.8,0.15,-0.47,-0.96,-0.63,-0.63,-0.45,-0.94,-0.8,-1.01,-0.65,-0.26,-1.49,-1.26,-0.13,-0.39,-0.2,0.01,-0.3,0.15
Michael Jordan,11,152,195,13,7,6,4,12,70,92.11,1683,425,1258,47.69,10,5,0,0,0,2,50.00,0,133,19,189,windchill,2023,202.0,5.0,7.0,3.59,3.08,6.67,0.36,0.08,2.0,6.0,9.0,5.13,2.56,24.04,2.63,0.0,57.14,7.03,2.65,0.08,9.05,5.12,0.39,3.71,3.27,2.68,2.15,6.0,23.65,189.0,21.88,4.93,2.1,-0.52,-0.32,-0.47,-0.1,0.05,-0.48,-0.36,-0.54,-0.37,0.34,-0.45,-0.26,1.16,-0.0,-0.88,-0.39,-0.0,-0.26,-0.14,0.15
Mickey Walsh,11,126,79,14,5,9,4,12,38,88.37,610,240,370,51.9,5,4,0,2,0,2,100.00,0,0,126,152,windchill,2023,202.0,5.0,7.0,6.33,11.39,17.72,0.48,0.1,3.0,5.0,8.0,6.33,5.06,16.05,3.17,0.0,57.14,17.3,3.15,0.09,8.22,6.18,0.54,6.29,10.9,5.05,3.22,5.11,16.04,156.16,120.61,11.35,2.22,-0.47,-0.32,-0.47,-0.77,-0.51,-0.71,-0.54,-0.24,-0.52,-0.67,-0.64,0.24,-0.03,-0.47,0.72,-0.39,-0.18,-0.26,-0.42,0.15
Jason Tschida,6,90,115,11,3,8,2,9,210,98.13,1252,1272,-20,54.78,6,3,0,1,0,0,--,0,86,4,103,windchill,2023,202.0,5.0,7.0,2.61,6.96,9.57,1.83,0.1,11.0,-0.0,11.0,5.22,2.61,5.96,2.22,0.0,28.57,9.92,2.28,0.09,10.92,5.2,1.76,2.88,6.96,2.8,10.52,0.48,6.76,109.88,9.92,8.08,0.32,-0.64,-0.8,-0.68,-0.37,-0.4,0.56,-0.73,-0.34,-0.66,-1.12,0.4,0.59,-1.52,-1.08,-1.11,-0.39,0.12,-0.54,-0.1,0.15
Cameron Lacy,11,128,86,5,4,1,7,8,42,91.3,464,355,109,55.81,3,4,0,0,0,3,100.00,75,0,128,162,windchill,2023,202.0,5.0,7.0,4.65,1.16,5.81,0.49,0.06,4.0,1.0,5.0,3.49,4.65,11.05,5.47,1500.0,100.0,6.66,5.21,0.05,5.52,3.65,0.54,4.79,1.77,4.69,4.1,1.52,11.57,164.81,122.79,1354.27,3.1,-0.97,0.39,-0.75,-0.86,-0.74,-0.68,-0.64,-1.04,-0.52,-0.97,-0.52,0.71,-0.77,-0.34,0.75,5.47,-0.33,1.25,0.16,0.15
