Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,DPP_Z,MP_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Tyler Nguyen,13,165,110,12,4,8,7,17,34,94.44,653,87,566,56.36,4,2,0,0,0,0,--,0,3,162,192,apex,2023,3.64,7.27,10.91,0.31,4.24,0.1,1.0,5.0,6.0,3.64,1.82,19.21,196.0,12.17,6.67,15.58,599.42,4.08,31.25,4.17,7.92,2.25,80.17,519.33,18.94,191.75,-0.6,0.37,-0.14,-0.73,-0.64,-0.73,-0.64,-0.36,-0.81,-0.45,-0.77,0.78,0.44,-0.02,1.26,-0.02,-0.11,0.26,-0.072,0.158
Saeed Semrin,7,104,71,10,4,6,12,16,37,84.09,780,290,490,56.34,6,6,0,0,0,2,50.00,78,6,98,128,apex,2023,5.63,8.45,14.08,0.52,11.54,0.15,4.0,7.0,11.0,8.45,8.45,21.08,196.0,10.49,10.89,14.02,684.94,5.88,32.56,4.25,6.12,5.88,254.81,430.25,20.45,135.53,-0.7,1.45,-0.25,-0.68,-0.43,-0.72,-0.63,-0.55,-0.26,-0.56,-0.59,0.77,0.72,-0.81,0.3,-0.81,-0.29,1.13,-0.12,0.158
Mathieu Agee,9,129,123,17,3,14,5,15,34,87.18,1197,35,1162,55.28,7,5,0,2,0,0,0.00,0,77,52,139,apex,2023,2.44,11.38,13.82,0.28,3.88,0.12,0.0,9.0,10.0,5.69,4.07,35.21,196.0,16.77,4.85,13.87,1107.75,6.85,31.52,3.23,13.47,5.0,32.74,1075.08,33.77,142.76,-0.33,-0.09,-0.27,-0.41,-0.31,-0.73,-0.73,0.22,-0.4,0.19,-0.82,0.65,2.81,-0.7,-0.39,-0.7,-0.21,0.05,-0.155,0.158
Sandy Brown,7,90,54,7,3,4,10,15,49,96.08,453,260,193,40.74,2,2,0,0,1,1,100.00,0,1,89,104,apex,2023,5.56,7.41,12.96,0.91,11.11,0.17,5.0,4.0,8.0,3.7,3.7,9.24,196.0,8.09,8.91,12.66,383.78,2.47,41.5,3.47,4.47,2.47,220.16,163.78,10.3,117.28,-0.84,0.95,-0.35,-0.87,-0.83,-0.65,-0.71,-0.73,-0.77,-0.87,-0.63,-1.1,-1.03,-1.06,0.17,-1.06,-0.22,0.83,-0.084,0.158
Connor Olson,11,179,180,19,9,10,3,12,213,96.38,1757,973,784,53.89,10,8,0,2,0,3,42.86,22,117,62,192,apex,2023,5.0,5.56,10.56,1.18,1.68,0.07,5.0,4.0,10.0,5.56,4.44,8.25,196.0,18.74,3.0,11.37,1665.05,9.74,201.84,8.84,9.84,7.84,922.05,743.05,8.66,191.84,-0.21,-0.57,-0.44,-0.05,0.03,0.56,-0.19,-0.16,0.03,-0.19,0.09,0.48,-1.18,-0.02,-0.24,-0.02,-0.09,-0.39,-0.119,0.158
Nicholas Snuszka,12,151,89,5,1,4,7,11,23,95.83,406,106,300,47.19,1,1,0,0,0,0,--,0,3,148,174,apex,2023,1.12,4.49,5.62,0.26,4.64,0.07,1.0,3.0,5.0,1.12,1.12,17.65,196.0,5.91,6.6,9.89,366.0,1.4,20.78,1.51,4.3,1.4,95.8,270.3,17.48,175.52,-0.96,0.35,-0.55,-0.88,-0.96,-0.81,-0.89,-0.74,-0.93,-0.74,-0.76,-0.32,0.21,-0.24,1.05,-0.24,-0.31,0.28,-0.236,0.158
Kai Marshall,6,97,92,10,2,8,4,9,37,92.5,695,153,542,52.17,4,3,0,2,0,0,0.00,0,37,60,104,apex,2023,2.17,8.7,10.87,0.4,4.12,0.09,2.0,6.0,8.0,4.35,3.26,18.78,196.0,10.39,3.9,8.12,627.84,4.1,33.47,2.39,7.9,3.2,138.49,489.45,18.51,112.33,-0.7,-0.34,-0.68,-0.71,-0.64,-0.72,-0.81,-0.37,-0.67,-0.49,-0.71,0.27,0.38,-1.13,-0.27,-1.13,-0.21,-0.05,-0.141,0.158
Tyler Monroe,13,229,262,57,32,25,0,47,317,96.06,4078,1876,2202,63.74,25,10,0,0,0,5,62.50,0,229,0,265,breeze,2023,12.21,9.54,21.76,1.21,0.0,0.21,7.0,8.0,16.0,9.54,3.82,12.86,208.0,55.42,0.11,45.27,3928.44,24.26,305.38,31.04,24.34,9.82,1807.21,2121.26,12.98,262.21,1.95,-1.31,1.97,1.4,1.75,1.35,1.93,1.36,0.32,1.41,1.0,1.66,-0.5,0.97,-1.16,0.97,1.3,-1.07,1.2,0.244
Benjamin Oort,10,174,188,47,22,25,2,41,184,95.83,2897,1005,1892,65.43,16,8,0,0,0,9,75.00,6,164,10,179,breeze,2023,11.7,13.3,25.0,0.98,1.15,0.24,5.0,10.0,15.0,8.51,4.26,15.74,208.0,45.33,2.05,38.93,2751.19,15.44,174.76,21.19,24.09,7.85,954.49,1796.75,15.75,179.51,1.35,-0.81,1.52,0.65,0.7,0.36,0.99,1.33,0.03,1.03,0.13,1.86,-0.07,-0.19,-1.02,-0.19,0.75,-0.53,0.577,0.244
Christian Boxley,12,232,257,50,17,33,2,41,269,96.07,3680,797,2883,61.09,36,11,0,0,0,0,0.00,0,219,13,263,breeze,2023,6.61,12.84,19.46,1.05,0.86,0.18,3.0,11.0,14.0,14.01,4.28,13.68,208.0,48.65,2.04,39.46,3542.55,34.84,258.96,16.59,32.03,10.78,767.34,2775.25,13.77,260.23,1.55,-0.81,1.56,1.16,3.0,0.99,0.55,2.17,0.47,2.17,-0.07,1.34,-0.38,0.94,-0.97,0.94,1.31,-0.72,1.245,0.244
Jonny Malks,14,258,301,62,29,33,6,41,558,95.22,6321,3721,2600,59.47,28,26,0,1,0,19,63.33,0,257,1,288,breeze,2023,9.63,10.96,20.6,1.85,2.33,0.16,12.0,9.0,21.0,9.3,8.64,11.33,208.0,60.46,5.9,39.68,6118.07,27.26,540.09,28.26,32.16,25.32,3601.51,2516.59,11.48,284.82,2.24,0.18,1.57,2.81,2.1,3.12,1.67,2.18,2.64,1.87,2.85,1.15,-0.72,1.29,-1.15,1.29,0.47,-0.09,0.487,0.244
Thomas Edmonds,13,229,180,35,22,13,7,37,264,98.14,2628,1612,1016,60.56,12,5,0,0,0,3,50.00,71,103,126,269,breeze,2023,12.22,7.22,19.44,1.47,3.06,0.16,9.0,6.0,15.0,6.67,2.78,9.95,208.0,33.89,6.79,35.05,2490.21,11.63,250.16,21.16,12.68,5.0,1527.42,962.84,10.27,264.79,0.68,0.4,1.24,0.48,0.25,0.93,0.99,0.14,-0.4,0.06,0.72,1.28,-0.93,1.01,0.72,1.01,0.68,0.11,0.708,0.244
Jeff Wodatch,12,183,207,33,20,13,2,33,168,98.25,2762,1114,1648,64.25,8,2,0,0,0,6,85.71,0,181,2,209,breeze,2023,9.66,6.28,15.94,0.81,1.09,0.18,5.0,8.0,13.0,3.86,0.97,16.44,208.0,32.12,2.05,31.48,2635.18,7.86,160.3,19.35,12.72,2.14,1062.89,1572.33,16.42,208.08,0.58,-0.81,0.99,0.57,-0.19,0.25,0.81,0.14,-0.82,0.77,0.24,1.72,0.03,0.21,-1.13,0.21,0.34,-0.6,0.247,0.244
Alexandre Fall,13,197,118,25,5,20,7,29,34,97.14,1020,83,937,55.08,3,1,0,2,0,0,--,0,1,196,222,breeze,2023,4.24,16.95,21.19,0.29,3.55,0.15,1.0,8.0,9.0,2.54,0.85,30.0,208.0,24.14,6.69,26.73,941.09,3.16,31.42,5.08,18.98,1.31,76.91,864.27,28.91,219.42,0.11,0.38,0.65,-0.51,-0.75,-0.73,-0.55,0.8,-0.95,-0.05,-0.78,0.62,2.04,0.37,1.77,0.37,0.26,0.2,0.262,0.244
Andrew Roy,14,237,270,31,23,8,2,24,564,98.26,4812,3739,1073,62.59,29,9,1,0,0,2,100.00,0,230,7,262,breeze,2023,8.52,2.96,11.48,2.09,0.84,0.1,14.0,4.0,18.0,10.74,3.33,8.53,208.0,30.39,2.04,23.14,4640.5,28.14,543.89,22.39,7.96,8.86,3605.64,1034.89,8.8,259.39,0.47,-0.81,0.4,1.86,2.21,3.15,1.11,-0.36,0.18,0.15,2.85,1.52,-1.14,0.93,-1.06,0.93,1.25,-0.71,1.183,0.244
Moussa Dia,12,201,111,15,7,8,12,24,44,93.62,719,180,539,49.55,4,3,0,0,0,0,0.00,0,9,192,225,breeze,2023,6.31,7.21,13.51,0.4,5.97,0.12,2.0,5.0,6.0,3.6,2.7,16.34,208.0,14.92,11.26,22.02,660.4,4.08,40.45,6.92,7.92,3.17,165.54,494.95,16.31,222.02,-0.43,1.55,0.32,-0.69,-0.64,-0.66,-0.38,-0.36,-0.67,-0.48,-0.69,-0.04,0.02,0.41,1.71,0.41,-0.08,1.0,0.029,0.244
Joe Merrill,10,140,88,12,3,9,12,23,27,96.43,680,124,556,55.68,4,1,0,0,0,0,--,0,5,135,157,breeze,2023,3.41,10.23,13.64,0.31,8.57,0.16,1.0,6.0,8.0,4.55,1.14,25.19,208.0,12.2,11.08,20.65,611.63,4.1,24.35,3.31,8.8,1.41,111.86,499.88,24.25,160.27,-0.59,1.5,0.22,-0.72,-0.64,-0.78,-0.72,-0.27,-0.93,-0.48,-0.74,0.69,1.33,-0.46,0.86,-0.46,-0.01,1.11,0.089,0.244
Kevin Healey,9,138,145,24,5,19,3,22,78,93.98,1798,375,1423,64.83,6,5,0,0,0,0,--,0,112,26,159,breeze,2023,3.45,13.1,16.55,0.54,2.17,0.16,3.0,10.0,12.0,4.14,3.45,23.05,208.0,23.35,3.0,20.58,1682.65,5.94,73.03,5.06,18.23,5.0,351.13,1331.58,22.6,160.94,0.06,-0.57,0.21,-0.04,-0.42,-0.42,-0.55,0.72,-0.4,0.49,-0.49,1.79,1.01,-0.45,-0.78,-0.45,-0.1,-0.32,-0.107,0.244
Cole Jurek,9,156,179,27,12,15,1,21,185,98.4,2750,922,1828,55.87,9,3,0,4,0,4,80.00,0,156,0,176,breeze,2023,6.7,8.38,15.08,1.03,0.64,0.13,5.0,10.0,15.0,5.03,1.68,14.86,208.0,26.31,1.11,19.89,2605.03,8.79,175.26,11.68,14.58,3.11,873.48,1731.6,14.92,176.69,0.23,-1.05,0.16,0.55,-0.08,0.36,0.08,0.34,-0.68,0.96,0.04,0.72,-0.2,-0.23,-1.16,-0.23,0.07,-0.69,-0.006,0.244
Jasper Tom,10,143,89,16,2,14,11,20,65,90.28,1055,425,630,57.3,5,7,0,0,0,2,50.00,4,0,143,174,breeze,2023,2.25,15.73,17.98,0.73,7.69,0.14,5.0,7.0,12.0,5.62,7.87,16.23,208.0,15.8,10.19,17.98,949.44,5.0,58.54,2.4,13.29,6.8,382.58,566.97,16.21,175.52,-0.38,1.27,0.03,-0.51,-0.53,-0.53,-0.81,0.2,-0.13,-0.4,-0.46,0.89,0.0,-0.24,0.98,-0.24,-0.21,0.92,-0.089,0.244
AJ Merriman,12,194,111,12,10,2,17,19,48,84.21,972,529,443,49.55,4,9,0,1,0,4,100.00,132,5,189,202,breeze,2023,9.01,1.8,10.81,0.43,8.76,0.1,5.0,4.0,9.0,3.6,8.11,20.25,208.0,12.17,15.84,17.43,892.5,4.08,44.12,9.67,2.41,8.67,485.69,406.88,19.9,200.93,-0.6,2.72,-0.01,-0.54,-0.64,-0.63,-0.11,-0.94,0.15,-0.59,-0.36,-0.04,0.6,0.11,1.67,0.11,-0.57,1.86,-0.322,0.244
Rhys Bergeron,13,178,90,12,4,8,7,14,50,89.29,673,309,364,58.89,5,5,0,0,0,1,33.33,0,0,178,211,breeze,2023,4.44,8.89,13.33,0.56,3.93,0.08,3.0,4.0,7.0,5.56,5.56,13.46,208.0,12.2,6.6,12.6,606.7,5.0,45.1,4.2,7.9,5.0,278.6,328.2,13.71,208.8,-0.59,0.35,-0.36,-0.73,-0.53,-0.63,-0.64,-0.37,-0.4,-0.68,-0.57,1.08,-0.41,0.22,1.5,0.22,-0.16,0.2,-0.125,0.244
Jacques Nissen,8,127,141,18,13,5,2,12,232,96.67,2343,1690,653,67.38,16,7,0,1,0,0,0.00,0,125,2,136,breeze,2023,9.22,3.55,12.77,1.65,1.57,0.09,12.0,5.0,17.0,11.35,4.96,10.1,208.0,17.74,2.07,11.21,2188.5,15.27,216.7,12.54,5.13,6.87,1578.41,610.15,10.49,139.51,-0.27,-0.81,-0.45,0.29,0.68,0.67,0.16,-0.66,-0.12,-0.35,0.77,2.1,-0.91,-0.75,-1.13,-0.75,0.36,-0.44,0.226,0.244
David Cranston,10,174,108,8,5,3,6,11,94,96.91,519,293,226,50.0,6,3,0,0,0,0,--,0,12,162,196,breeze,2023,4.63,2.78,7.41,0.87,3.45,0.06,3.0,2.0,5.0,5.56,2.78,5.52,208.0,8.51,5.75,10.07,475.86,5.92,86.12,5.08,3.34,3.17,268.59,207.36,6.41,195.41,-0.81,0.14,-0.54,-0.81,-0.42,-0.32,-0.55,-0.84,-0.67,-0.82,-0.58,0.01,-1.58,0.03,1.26,0.03,-0.11,0.09,-0.087,0.244
Charlie McCutcheon,11,162,87,8,5,3,2,10,43,100.0,355,86,269,60.92,3,0,1,0,0,0,--,0,0,162,203,breeze,2023,5.75,3.45,9.2,0.49,1.23,0.06,1.0,3.0,4.0,3.45,0.0,8.26,208.0,8.62,2.1,8.97,319.43,3.21,38.67,5.1,3.41,0.52,77.65,241.89,9.06,201.56,-0.8,-0.8,-0.61,-0.91,-0.74,-0.68,-0.55,-0.84,-1.07,-0.78,-0.78,1.32,-1.18,0.12,1.26,0.12,-0.07,-0.57,-0.119,0.244
Luke Rehfuss,10,144,81,4,2,2,6,8,28,93.33,479,60,419,53.09,2,2,0,0,0,0,--,0,0,144,163,breeze,2023,2.47,2.47,4.94,0.35,4.17,0.06,1.0,5.0,6.0,2.47,2.47,17.11,208.0,5.1,5.67,7.12,427.46,2.33,25.03,2.44,2.55,2.33,53.96,373.62,16.99,165.86,-1.01,0.12,-0.75,-0.84,-0.85,-0.78,-0.81,-0.93,-0.8,-0.62,-0.8,0.38,0.13,-0.38,0.99,-0.38,-0.44,0.14,-0.338,0.244
Troy Holland,10,171,85,6,4,2,5,7,71,94.67,778,517,261,58.82,5,3,1,1,0,1,100.00,0,0,171,199,breeze,2023,4.71,2.35,7.06,0.84,2.92,0.04,6.0,3.0,9.0,5.88,3.53,10.96,208.0,6.84,4.79,6.26,697.16,5.0,63.63,4.21,2.53,3.21,463.11,234.16,11.49,197.95,-0.91,-0.11,-0.81,-0.67,-0.53,-0.49,-0.64,-0.93,-0.66,-0.79,-0.38,1.07,-0.78,0.07,1.4,0.07,-0.2,-0.09,-0.185,0.244
Jake Kenniv,11,276,339,57,26,31,11,40,322,92.8,4645,1502,3143,41.59,20,24,1,4,1,7,70.00,4,264,12,327,mechanix,2023,7.67,9.14,16.81,0.95,3.99,0.14,4.0,9.0,14.0,5.9,7.08,14.43,164.0,55.77,10.77,38.85,4512.19,19.57,312.8,25.43,30.31,23.46,1459.11,3053.11,14.47,323.05,1.97,1.42,1.51,1.78,1.19,1.4,1.4,1.99,2.36,2.5,0.65,-1.0,-0.27,1.82,-0.99,1.82,-0.42,0.68,-0.438,-0.312
Carson Chamberlain,12,269,349,43,9,34,7,35,158,94.05,3304,438,2866,40.11,14,8,0,7,0,0,0.00,0,265,4,336,mechanix,2023,2.58,9.74,12.32,0.45,2.6,0.13,1.0,8.0,9.0,4.01,2.29,20.91,164.0,42.19,6.89,34.03,3212.25,13.75,153.63,8.92,33.25,7.92,425.94,2786.33,20.77,331.91,1.17,0.43,1.17,0.94,0.5,0.2,-0.18,2.3,0.04,2.19,-0.42,-1.17,0.69,1.95,-1.11,1.95,0.17,-0.03,0.215,-0.312
Malachi Neil,10,147,82,6,1,5,12,16,24,96.0,452,50,402,31.71,1,1,0,1,0,0,--,10,14,133,142,mechanix,2023,1.22,6.1,7.32,0.29,8.16,0.11,1.0,5.0,6.0,1.22,1.22,18.83,164.0,6.87,11.02,14.26,403.96,1.43,21.5,1.54,5.22,1.43,45.11,358.96,18.52,147.11,-0.91,1.49,-0.24,-0.86,-0.95,-0.81,-0.89,-0.65,-0.93,-0.64,-0.81,-2.18,0.39,-0.64,0.83,-0.64,-0.32,1.13,-0.163,-0.312
Daniel Robinson,8,167,212,21,2,19,3,15,114,95.8,2184,545,1639,41.98,11,5,0,4,0,0,--,0,166,1,194,mechanix,2023,0.94,8.96,9.91,0.54,1.8,0.09,3.0,8.0,10.0,5.19,2.36,19.16,164.0,20.68,3.0,14.32,2086.07,10.73,108.91,2.18,18.46,5.0,520.68,1565.44,19.02,193.77,-0.1,-0.57,-0.23,0.22,0.15,-0.14,-0.83,0.74,-0.4,0.76,-0.32,-0.95,0.43,0.01,-1.15,0.01,-0.0,-0.4,-0.044,-0.312
Nicholas Betsch,11,267,335,37,22,15,7,15,294,91.59,4473,2011,2462,41.49,21,22,0,7,0,11,73.33,0,263,4,324,mechanix,2023,6.57,4.48,11.04,0.88,2.62,0.06,6.0,7.0,13.0,6.27,6.57,15.21,164.0,36.33,6.88,14.57,4343.64,20.54,285.51,21.54,14.77,21.51,1952.86,2390.81,15.23,320.09,0.82,0.43,-0.22,1.67,1.31,1.19,1.02,0.36,2.07,1.72,1.15,-1.01,-0.15,1.78,-1.11,1.78,-0.59,0.0,-0.746,-0.312
Jack Havey,11,243,306,37,20,17,1,11,373,92.56,4303,2361,1942,40.2,20,26,0,1,0,2,50.00,0,231,12,299,mechanix,2023,6.54,5.56,12.09,1.22,0.41,0.05,8.0,6.0,14.0,6.54,8.5,11.54,164.0,36.27,1.06,10.65,4167.15,19.53,361.23,19.56,16.68,25.34,2286.44,1880.73,11.68,295.52,0.82,-1.06,-0.49,1.56,1.19,1.77,0.83,0.56,2.64,1.13,1.5,-1.16,-0.69,1.44,-0.99,1.44,-0.68,-0.97,-0.957,-0.312
Terry Gaither,10,178,102,5,0,5,7,10,16,84.21,359,7,352,32.35,0,1,0,1,0,0,--,1,26,152,175,mechanix,2023,0.0,4.9,4.9,0.16,3.93,0.06,0.0,3.0,4.0,0.0,0.98,22.44,164.0,5.8,6.64,9.11,327.84,0.45,14.66,0.54,5.18,1.36,6.82,321.11,21.86,176.25,-0.97,0.36,-0.6,-0.91,-1.07,-0.86,-0.99,-0.65,-0.94,-0.69,-0.85,-2.11,0.92,-0.23,1.11,-0.23,-0.38,0.29,-0.323,-0.312
Trevor Polisuk-Balfour,6,71,44,9,2,7,2,10,17,89.47,410,42,368,36.36,2,1,0,0,0,0,--,8,7,64,74,mechanix,2023,4.55,15.91,20.45,0.39,2.82,0.14,1.0,8.0,9.0,4.55,2.27,24.12,164.0,9.93,2.19,8.15,335.93,2.56,14.04,2.74,7.0,1.74,35.15,300.96,22.62,95.3,-0.73,-0.77,-0.67,-0.9,-0.82,-0.86,-0.78,-0.46,-0.88,-0.71,-0.82,-1.62,1.17,-1.37,-0.21,-1.37,-0.14,-0.31,-0.105,-0.312
Brendan Gessner,5,69,88,8,2,6,1,9,32,100.0,464,65,399,34.09,3,0,0,0,0,1,100.00,0,57,12,91,mechanix,2023,2.27,6.82,9.09,0.36,1.45,0.13,1.0,5.0,5.0,3.41,0.0,14.5,164.0,8.61,1.2,8.08,417.67,3.2,28.84,2.41,6.1,0.51,58.88,358.9,14.65,101.0,-0.81,-1.03,-0.68,-0.85,-0.74,-0.75,-0.81,-0.55,-1.07,-0.64,-0.8,-1.9,-0.26,-1.29,-0.99,-1.29,-0.08,-0.5,-0.091,-0.312
Dylan Hall,10,152,82,13,7,6,5,8,33,84.62,737,418,319,36.59,1,6,0,4,0,4,66.67,95,20,132,145,mechanix,2023,8.54,7.32,15.85,0.4,3.29,0.05,5.0,4.0,9.0,1.22,7.32,22.33,164.0,13.11,4.78,7.13,657.98,1.43,29.52,6.89,6.11,5.89,373.11,284.98,21.64,149.78,-0.54,-0.11,-0.75,-0.7,-0.95,-0.75,-0.38,-0.55,-0.26,-0.73,-0.47,-1.6,0.9,-0.61,0.81,-0.61,-0.38,0.02,-0.32,-0.312
Robby Davenport,11,180,196,16,8,8,4,6,215,94.3,1982,1285,697,41.84,7,11,0,3,0,2,100.00,0,139,41,212,mechanix,2023,4.08,4.08,8.16,1.1,2.22,0.03,7.0,4.0,10.0,3.57,5.61,9.22,164.0,15.9,3.95,5.71,1886.27,6.9,204.61,7.9,7.95,10.71,1222.86,663.46,9.55,210.88,-0.38,-0.32,-0.85,0.09,-0.31,0.58,-0.28,-0.36,0.46,-0.29,0.4,-0.97,-1.04,0.25,-0.55,0.25,-0.5,-0.26,-0.541,-0.312
Joseph Cubitt,12,285,369,41,30,11,3,5,615,94.04,4874,4274,600,39.84,25,34,0,5,0,22,81.48,0,285,0,345,mechanix,2023,8.13,2.98,11.11,1.67,1.05,0.02,12.0,2.0,13.0,6.78,9.21,7.93,164.0,40.29,3.0,4.87,4745.66,24.47,598.8,29.37,10.89,33.23,4161.36,584.33,8.14,340.88,1.06,-0.57,-0.91,1.93,1.77,3.57,1.77,-0.05,3.82,-0.38,3.43,-1.21,-1.23,2.07,-1.16,2.07,-0.25,-0.74,-0.434,-0.312
Matt Gubernick,8,62,39,3,1,2,2,4,9,75.0,180,102,78,23.08,0,1,0,0,0,1,50.00,1,8,54,74,mechanix,2023,2.56,5.13,7.69,0.23,3.23,0.06,3.0,2.0,5.0,0.0,2.56,20.0,164.0,5.24,2.2,3.18,145.31,1.02,7.37,2.02,3.02,1.82,82.2,63.31,19.18,97.47,-1.0,-0.77,-1.03,-1.02,-1.0,-0.91,-0.85,-0.88,-0.87,-0.99,-0.77,-3.22,0.56,-1.34,-0.36,-1.34,-0.3,-0.31,-0.202,-0.312
Riley Ulmer,6,41,28,3,2,1,1,4,10,83.33,189,46,143,28.57,0,0,0,0,0,0,--,0,5,36,46,mechanix,2023,7.14,3.57,10.71,0.36,2.44,0.1,2.0,5.0,7.0,0.0,0.0,18.9,164.0,5.89,1.53,2.95,141.89,1.32,7.63,3.05,2.58,1.32,35.21,106.95,18.14,83.63,-0.97,-0.94,-1.04,-1.03,-0.97,-0.91,-0.75,-0.92,-0.95,-0.94,-0.82,-2.56,0.4,-1.53,-0.63,-1.53,-0.26,-0.4,-0.145,-0.312
Colin Beauregard,11,196,102,4,4,0,5,3,28,82.35,502,217,285,26.47,1,5,0,1,0,3,100.00,0,8,188,202,mechanix,2023,3.92,0.0,3.92,0.27,2.55,0.02,2.0,3.0,5.0,0.98,4.9,17.93,164.0,4.89,4.82,2.73,458.07,1.36,25.59,4.18,0.62,5.0,198.07,260.09,17.76,200.84,-1.02,-0.1,-1.06,-0.82,-0.96,-0.77,-0.64,-1.13,-0.4,-0.76,-0.65,-2.81,0.25,0.11,1.65,0.11,-0.65,-0.09,-0.659,-0.312
Caleb Stanish,4,55,42,2,1,1,2,3,11,100.0,121,22,99,30.95,0,0,0,1,0,0,--,0,16,39,57,mechanix,2023,2.38,2.38,4.76,0.26,3.64,0.05,1.0,2.0,3.0,0.0,0.0,11.0,164.0,4.31,2.19,2.42,99.65,0.96,9.08,1.96,2.15,0.96,18.73,81.12,11.96,82.38,-1.06,-0.77,-1.08,-1.05,-1.01,-0.9,-0.85,-0.97,-1.0,-0.97,-0.84,-2.27,-0.77,-1.55,-0.58,-1.55,-0.3,-0.28,-0.176,-0.312
Blake Krapfl,1,23,18,2,2,0,0,2,4,80.0,183,132,51,27.78,0,0,0,0,0,1,100.00,0,9,14,24,mechanix,2023,11.11,0.0,11.11,0.22,0.0,0.09,7.0,3.0,10.0,0.0,0.0,45.75,164.0,6.29,1.07,1.29,121.21,1.79,2.93,3.43,2.5,1.79,86.64,34.93,35.12,82.93,-0.94,-1.06,-1.16,-1.04,-0.91,-0.95,-0.71,-0.93,-0.88,-1.02,-0.77,-2.65,4.37,-1.54,-0.96,-1.54,-0.21,-0.48,-0.091,-0.312
Chris Walsh,2,44,63,7,6,1,1,1,68,88.31,682,452,230,31.75,2,6,0,1,0,2,50.00,0,44,0,57,mechanix,2023,9.52,1.59,11.11,1.08,2.27,0.02,7.0,4.0,11.0,3.17,9.52,10.03,164.0,7.96,1.27,0.86,589.95,2.41,58.82,6.0,1.82,5.86,390.77,199.32,10.85,75.08,-0.84,-1.01,-1.19,-0.74,-0.84,-0.52,-0.46,-1.0,-0.27,-0.83,-0.45,-2.18,-0.92,-1.65,-1.16,-1.65,-0.51,-0.43,-0.296,-0.312
Nathan Ploeger,11,132,108,8,2,6,3,1,22,70.97,665,117,548,23.15,2,8,0,2,0,1,100.00,33,48,84,147,mechanix,2023,1.85,5.56,7.41,0.2,2.27,0.01,1.0,5.0,6.0,1.85,7.41,30.23,164.0,8.51,3.0,0.92,609.49,2.25,20.22,2.34,6.08,7.75,107.51,502.07,29.02,150.56,-0.81,-0.57,-1.19,-0.73,-0.86,-0.82,-0.81,-0.56,0.01,-0.47,-0.75,-3.21,2.07,-0.59,0.09,-0.59,-0.75,-0.3,-0.667,-0.312
Aaron Schwieterman,1,12,10,1,1,0,0,0,10,90.91,92,78,14,40.0,0,0,0,1,0,0,--,0,4,8,11,mechanix,2023,10.0,0.0,10.0,1.0,0.0,0.0,8.0,1.0,9.0,0.0,0.0,9.2,164.0,7.5,1.5,0.0,51.0,2.5,5.5,3.5,3.5,2.5,41.5,10.0,12.6,100.0,-0.87,-0.95,-1.25,-1.08,-0.83,-0.93,-0.7,-0.83,-0.77,-1.05,-0.81,-1.19,-1.04,-1.3,-1.05,-1.3,-0.18,-0.44,-0.053,-0.312
Ben Lewis,11,238,266,46,21,25,9,38,151,92.07,3042,441,2601,40.23,9,12,0,5,0,2,100.00,0,134,104,273,havoc,2023,7.89,9.4,17.29,0.57,3.78,0.16,2.0,10.0,11.0,3.38,4.51,20.15,134.0,44.84,8.78,36.62,2932.14,8.86,145.57,20.46,24.35,11.75,425.2,2506.98,20.0,269.96,1.32,0.91,1.36,0.76,-0.07,0.13,0.92,1.36,0.61,1.86,-0.42,-1.16,0.58,1.08,0.39,1.08,-0.32,0.45,-0.347,-0.311
Mark Baldauf,12,225,216,26,14,12,12,18,272,92.52,2671,1629,1042,38.43,13,18,1,2,0,2,25.00,0,120,105,230,havoc,2023,6.48,5.56,12.04,1.26,5.33,0.08,8.0,5.0,12.0,6.02,8.33,9.82,134.0,25.47,11.6,17.2,2553.26,12.65,260.01,13.65,11.78,17.42,1557.14,996.16,10.09,228.19,0.19,1.63,-0.03,0.52,0.37,1.0,0.27,0.04,1.46,0.1,0.75,-1.38,-0.95,0.49,0.41,0.49,-0.49,1.04,-0.442,-0.311
Jordan Salazar,10,133,135,15,7,8,5,14,69,90.79,1283,292,991,37.78,4,6,0,0,0,0,0.00,0,56,77,154,havoc,2023,5.19,5.93,11.11,0.51,3.76,0.11,2.0,7.0,10.0,2.96,4.44,18.59,134.0,14.93,4.86,13.03,1195.21,4.07,64.31,6.93,7.93,5.93,272.21,923.07,18.41,156.41,-0.43,-0.09,-0.33,-0.35,-0.64,-0.48,-0.38,-0.36,-0.26,0.02,-0.58,-1.45,0.35,-0.51,-0.01,-0.51,-0.49,0.02,-0.471,-0.311
